Name,Created,Tags,URL
https://arxiv.org/pdf/2207.04906.pdf,"July 20, 2022 11:04 AM",translation,https://arxiv.org/pdf/2207.04906.pdf
[2201.00299] Improving Out-of-Distribution Robustness via Selective Augmentation,"July 19, 2022 3:53 PM",,https://arxiv.org/abs/2201.00299
[2207.07611] Position Prediction as an Effective Pretraining Strategy,"July 19, 2022 3:45 PM",,https://arxiv.org/abs/2207.07611
"[2207.06300] Re2G: Retrieve, Rerank, Generate","July 17, 2022 8:55 PM",,https://arxiv.org/abs/2207.06300
[2207.05221] Language Models (Mostly) Know What They Know,"July 17, 2022 8:45 PM",,https://arxiv.org/abs/2207.05221
[2207.00237] Improving Speech Enhancement through Fine-Grained Speech Characteristics,"July 14, 2022 7:40 PM",,https://arxiv.org/abs/2207.00237
[2207.04785] SALSA: Attacking Lattice Cryptography with Transformers,"July 14, 2022 7:04 AM",,https://arxiv.org/abs/2207.04785
[2205.09310] Mitigating Neural Network Overconfidence with Logit Normalization,"July 14, 2022 7:01 AM",,https://arxiv.org/abs/2205.09310
[2205.13115] Fine-grained Image Captioning with CLIP Reward,"July 14, 2022 6:56 AM",,https://arxiv.org/abs/2205.13115
[2207.05608] Inner Monologue: Embodied Reasoning through Planning with Language Models,"July 13, 2022 1:34 PM",,https://arxiv.org/abs/2207.05608
[2207.04901] Exploring Length Generalization in Large Language Models,"July 12, 2022 1:54 PM",,https://arxiv.org/abs/2207.04901
[2202.01169] Unified Scaling Laws for Routed Language Models,"July 12, 2022 1:26 PM",,https://arxiv.org/abs/2202.01169
[2207.03620] More ConvNets in the 2020s: Scaling up Kernels Beyond 51x51 using Sparsity,"July 12, 2022 12:08 PM",,https://arxiv.org/abs/2207.03620
Improving Wikipedia Verifiability with AI | OpenReview,"July 12, 2022 11:50 AM",,https://openreview.net/forum?id=qfTqRtkDbWZ
Keyword Extraction in Scientific Documents,"July 11, 2022 12:09 PM",,https://arxiv.org/pdf/2207.01888.pdf
"[2205.02302] Machine Learning Operations (MLOps): Overview, Definition, and Architecture","July 10, 2022 12:53 PM",,https://arxiv.org/abs/2205.02302
No Language Left Behind: Scaling Human-Centered Machine Translation - Meta Research,"July 10, 2022 11:13 AM",,https://research.facebook.com/publications/no-language-left-behind/
Training Transformers Together,"July 9, 2022 9:17 AM",,https://training-transformers-together.github.io/
"(11) Jack Clark on Twitter: ""As someone who has spent easily half a decade staring at AI arXiv each week and trying to articulate rate of progress, I still don't think people understand how rapidly the field is advancing. Benchmarks are becoming saturated at ever increasing rates."" / Twitter","July 2, 2022 7:09 AM",,https://twitter.com/jackclarksf/status/1542715805657210881?s=12&t=fQP-G53KpwbYQNQe4gxmsA
Introducing AI-driven acoustic synthesis for AR and VR,"July 2, 2022 7:01 AM",,https://ai.facebook.com/blog/ai-driven-acoustic-synthesis-for-augmented-and-virtual-reality-experiences/?utm_source=twitter&utm_medium=organic_social&utm_campaign=blog
[2206.15477] Denoised MDPs: Learning World Models Better Than the World Itself,"July 2, 2022 6:59 AM",,https://arxiv.org/abs/2206.15477